Column,doid,label,disorder_qid,subclass_of,subclass_of_qid
0,obo.DOID_863,neurological disorder,Q3339235,disease of anatomical entity,Q18557436
1,obo.DOID_0050155,sensory system disease,Q18553219,neurological disorder,Q3339235
2,obo.DOID_331,central nervous system disease,Q5062122,neurological disorder,Q3339235
3,obo.DOID_0060695,hyperekplexia,Q1781802,neurological disorder,Q3339235
4,obo.DOID_0090115,spinocerebellar ataxia type 1 with axonal neuropathy,Q30989322,neurological disorder,Q3339235
5,obo.DOID_0090124,neurogenic arthrogryposis multiplex congenita,Q708165,neurological disorder,Q3339235
6,obo.DOID_0111580,Behr syndrome,Q814547,neurological disorder,Q3339235
7,obo.DOID_574,peripheral neuropathy,Q945238,neurological disorder,Q3339235
8,obo.DOID_12697,locked-in syndrome,Q794457,neurological disorder,Q3339235
9,obo.DOID_14464,neuroleptic malignant syndrome,Q1424956,neurological disorder,Q3339235
10,obo.DOID_3602,Toxic encephalopathy,Q7830379,neurological disorder,Q3339235
11,obo.DOID_4969,Gerstmann syndrome,Q1515119,neurological disorder,Q3339235
12,obo.DOID_862,diplegia of upper limb,Q18557980,neurological disorder,Q3339235
13,obo.DOID_2742,ear disease,Q5325633,sensory system disease,Q18553219
14,obo.DOID_5614,eye disease,Q3041498,sensory system disease,Q18553219
15,obo.DOID_0050425,restless legs syndrome,Q916280,central nervous system disease,Q5062122
17,obo.DOID_936,brain diseases,Q576349,central nervous system disease,Q5062122
19,obo.DOID_10095,intracranial abscess,Q18553780,central nervous system disease,Q5062122
21,obo.DOID_10554,meningoencephalitis,Q2346415,central nervous system disease,Q5062122
22,obo.DOID_319,spinal cord disease,Q2303951,central nervous system disease,Q5062122
23,obo.DOID_11387,epidural abscess,Q18353735,central nervous system disease,Q5062122
24,obo.DOID_11389,subdural empyema,Q3724806,central nervous system disease,Q5062122
25,obo.DOID_12835,tetraplegi,Q944758,central nervous system disease,Q5062122
26,obo.DOID_607,paraplegia,Q1049655,central nervous system disease,Q5062122
27,obo.DOID_3230,high pressure neurological syndrome,Q955638,central nervous system disease,Q5062122
28,obo.DOID_640,encephalomyelitis,Q1634879,central nervous system disease,Q5062122
29,obo.DOID_8117,neuronitis,Q17157137,central nervous system disease,Q5062122
30,obo.DOID_0060696,hyperekplexia 1,Q28024514,hyperekplexia,Q1781802
31,obo.DOID_0060697,hyperekplexia 2,Q28024515,hyperekplexia,Q1781802
32,obo.DOID_0060698,hyperekplexia 3,Q28024516,hyperekplexia,Q1781802
34,obo.DOID_870,peripheral neuropathy,Q945238,peripheral neuropathy,Q945238
35,obo.DOID_11465,autonomic nervous system disease,Q18554088,peripheral neuropathy,Q945238
36,obo.DOID_3690,brachial plexus neuropathy,Q18556023,peripheral neuropathy,Q945238
37,obo.DOID_1389,polyneuropathy,Q1502312,peripheral neuropathy,Q945238
38,obo.DOID_11577,Cauda equina syndrome,Q1051436,peripheral neuropathy,Q945238
39,obo.DOID_573,nerve compression syndrome,Q1978084,peripheral neuropathy,Q945238
40,obo.DOID_13913,lumbosacral plexus lesion,Q18554629,peripheral neuropathy,Q945238
41,obo.DOID_6925,peroneal nerve paralysis,Q18557404,peripheral neuropathy,Q945238
42,obo.DOID_0050563,nonsyndromic deafness,Q9079046,ear disease,Q5325633
43,obo.DOID_2952,inner ear disease,Q18555242,ear disease,Q5325633
44,obo.DOID_10261,discharging ear,Q3357695,ear disease,Q5325633
45,obo.DOID_5100,middle ear disease,Q18556619,ear disease,Q5325633
46,obo.DOID_11129,dislocation of ear ossicle,Q18554011,ear disease,Q5325633
47,obo.DOID_11235,adhesive otitis media,Q18554043,ear disease,Q5325633
48,obo.DOID_11783,necrosis of ear ossicle,Q18554172,ear disease,Q5325633
49,obo.DOID_2889,retrocochlear disease,Q18555231,ear disease,Q5325633
50,obo.DOID_379,external ear disease,Q18556075,ear disease,Q5325633
51,obo.DOID_10124,corneal disease,Q18553785,eye disease,Q3041498
52,obo.DOID_9835,refractive error,Q470427,eye disease,Q3041498
53,obo.DOID_5679,retinal disease,Q550455,eye disease,Q3041498
54,obo.DOID_1686,glaucoma,Q159701,eye disease,Q3041498
56,obo.DOID_0050633,ocular albinism,Q2831905,eye disease,Q3041498
57,obo.DOID_8501,fundus dystrophy,Q18557956,eye disease,Q3041498
58,obo.DOID_0060216,Cogan syndrome,Q1106923,eye disease,Q3041498
59,obo.DOID_0060217,Cogan-Reese syndrome,Q18553732,eye disease,Q3041498
60,obo.DOID_0060260,ptosis,Q622427,eye disease,Q3041498
61,obo.DOID_9720,vitreous disease,Q18558199,eye disease,Q3041498
63,obo.DOID_0060680,Pigment dispersion syndrome,Q2753827,eye disease,Q3041498
65,obo.DOID_10629,microphthalmia,Q1557239,eye disease,Q3041498
66,obo.DOID_14686,Axenfeld-Rieger syndrome,Q474994,eye disease,Q3041498
67,obo.DOID_110,lens disease,Q18553990,eye disease,Q3041498
68,obo.DOID_0111228,helicoid peripapillary chorioretinal degeneration,Q55780357,eye disease,Q3041498
69,obo.DOID_0111541,pigmented paravenous retinochoroidal atrophy,Q55781371,eye disease,Q3041498
70,obo.DOID_9799,eye degenerative disease,Q18558225,eye disease,Q3041498
71,obo.DOID_0111648,ectopia lentis et pupillae,Q55998586,eye disease,Q3041498
72,obo.DOID_10034,eye accommodation disease,Q18553766,eye disease,Q3041498
73,obo.DOID_1400,lacrimal apparatus disease,Q18554657,eye disease,Q3041498
74,obo.DOID_10176,neuroretinitis,Q18553800,eye disease,Q3041498
75,obo.DOID_10376,amblyopia,Q207855,eye disease,Q3041498
76,obo.DOID_4251,conjunctival disease,Q18556249,eye disease,Q3041498
77,obo.DOID_11343,scleral disease,Q18554064,eye disease,Q3041498
78,obo.DOID_238,pupil disorder,Q18555067,eye disease,Q3041498
79,obo.DOID_9368,keratoconjunctivitis,Q1623006,eye disease,Q3041498
80,obo.DOID_790,ocular hypotension,Q18557760,eye disease,Q3041498
81,obo.DOID_1393,visual pathway disease,Q18554635,eye disease,Q3041498
82,obo.DOID_12270,coloboma,Q1462309,eye disease,Q3041498
83,obo.DOID_1242,globe disease,Q18554319,eye disease,Q3041498
84,obo.DOID_8886,chorioretinitis,Q1402851,eye disease,Q3041498
85,obo.DOID_3480,uveal disease,Q18555950,eye disease,Q3041498
86,obo.DOID_1432,blindness,Q10874,eye disease,Q3041498
87,obo.DOID_9282,ocular hypertension,Q9294051,eye disease,Q3041498
88,obo.DOID_9335,scotoma,Q950591,eye disease,Q3041498
89,obo.DOID_9370,exophthalmos,Q684383,eye disease,Q3041498
90,obo.DOID_9722,ophthalmia nodosa,Q7098081,eye disease,Q3041498
91,obo.DOID_0050635,alternating hemiplegia of childhood,Q2632848,hemiplegia,Q304497
92,obo.DOID_649,transmissible spongiform encephalopathy,Q703961,brain diseases,Q576349
93,obo.DOID_679,basal ganglia disease,Q4866181,brain diseases,Q576349
94,obo.DOID_1969,cerebral palsy,Q210427,brain diseases,Q576349
95,obo.DOID_0050682,Athabaskan brainstem dysgenesis syndrome,Q18553396,brain diseases,Q576349
96,obo.DOID_1826,epilepsy,Q41571,brain diseases,Q576349
97,obo.DOID_0050850,diabetic encephalopathy,Q18553513,brain diseases,Q576349
98,obo.DOID_0060263,porencephaly,Q492129,brain diseases,Q576349
99,obo.DOID_2786,cerebellar disease,Q564123,brain diseases,Q576349
100,obo.DOID_0080539,PEHO syndrome,Q4357091,brain diseases,Q576349
101,obo.DOID_0090125,COL4A1-related familial vascular leukoencephalopathy,Q30989685,brain diseases,Q576349
102,obo.DOID_0090130,cortical dysplasia-focal epilepsy syndrome,Q30989483,brain diseases,Q576349
104,obo.DOID_480,movement disorder,Q2608695,brain diseases,Q576349
105,obo.DOID_0111262,infantile cerebral and cerebellar atrophy with postnatal progressive microcephaly,Q55784025,brain diseases,Q576349
107,obo.DOID_6364,migraine disorder,Q133823,brain diseases,Q576349
108,obo.DOID_9588,encephalitis,Q199615,brain diseases,Q576349
109,obo.DOID_1443,cerebral degeneration,Q1620193,brain diseases,Q576349
110,obo.DOID_11457,brain compression,Q4411766,brain diseases,Q576349
112,obo.DOID_13413,hepatic encephalopathy,Q642548,brain diseases,Q576349
113,obo.DOID_12680,pseudobulbar palsy,Q1815985,brain diseases,Q576349
114,obo.DOID_2034,encephalomalacia,Q947813,brain diseases,Q576349
115,obo.DOID_1607,Hypoglycemic coma,Q7287539,brain diseases,Q576349
116,obo.DOID_1931,Hypothalamic disease,Q5961220,brain diseases,Q576349
117,obo.DOID_2382,kernicterus,Q861845,brain diseases,Q576349
118,obo.DOID_2384,Wernicke encephalopathy,Q1573307,brain diseases,Q576349
119,obo.DOID_2479,central nervous system origin vertigo,Q18555094,brain diseases,Q576349
120,obo.DOID_3431,cerebritis,Q5064108,brain diseases,Q576349
121,obo.DOID_4267,akinetic mutism,Q418522,brain diseases,Q576349
122,obo.DOID_4662,thalamic disease,Q18556419,brain diseases,Q576349
123,obo.DOID_4723,intracranial hypotension,Q16831900,brain diseases,Q576349
124,obo.DOID_4724,cerebral edema,Q979168,brain diseases,Q576349
127,obo.DOID_0050831,familial encephalopathy with neuroserpin inclusion bodies,Q5432935,neurodegeneration,Q1755122
128,obo.DOID_0050883,infantile cerebellar-retinal degeneration,Q18553533,neurodegeneration,Q1755122
129,obo.DOID_0050890,synucleinopathy,Q16963368,neurodegeneration,Q1755122
130,obo.DOID_3213,demyelinating disease,Q1186703,neurodegeneration,Q1755122
132,obo.DOID_0060491,SPOAN syndrome,Q10376449,neurodegeneration,Q1755122
133,obo.DOID_0070352,"neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures",Q66684593,neurodegeneration,Q1755122
137,obo.DOID_0111246,Lytico-bodig disease,Q3508653,neurodegeneration,Q1755122
138,obo.DOID_231,motor neuron disease,Q3221083,neurodegeneration,Q1755122
139,obo.DOID_680,tauopathy,Q2397106,neurodegeneration,Q1755122
140,obo.DOID_11870,Pick disease,Q18576,neurodegeneration,Q1755122
141,obo.DOID_12707,myoclonic cerebellar dyssynergia,Q3961686,neurodegeneration,Q1755122
142,obo.DOID_12858,Huntington disease,Q190564,neurodegeneration,Q1755122
143,obo.DOID_13548,secondary parkinsonism,Q18554542,neurodegeneration,Q1755122
145,obo.DOID_3688,plexopathy,Q7204901,neurodegeneration,Q1755122
146,obo.DOID_9277,primary cerebellar degeneration,Q18558090,neurodegeneration,Q1755122
147,obo.DOID_11608,fungal meningitis,Q5509169,meningitis,Q48143
148,obo.DOID_9470,bacterial meningitis,Q3678510,meningitis,Q48143
149,obo.DOID_10310,viral meningitis,Q3301664,meningitis,Q48143
150,obo.DOID_10341,chronic meningitis,Q18553843,meningitis,Q48143
151,obo.DOID_12156,arachnoiditis,Q2669284,meningitis,Q48143
152,obo.DOID_12157,aseptic meningitis,Q4804182,meningitis,Q48143
153,obo.DOID_1089,tethered spinal cord syndrome,Q386346,spinal cord disease,Q2303951
154,obo.DOID_320,vascular myelopathy,Q17232521,spinal cord disease,Q2303951
155,obo.DOID_322,myelitis,Q551085,spinal cord disease,Q2303951
156,obo.DOID_327,syringomyelia,Q1112977,spinal cord disease,Q2303951
158,obo.DOID_606,Brown-Séquard syndrome,Q991037,paraplegia,Q1049655
159,obo.DOID_639,acute disseminated encephalomyelitis,Q424242,encephalomyelitis,Q1634879
160,obo.DOID_0050548,hereditary sensory and autonomic neuropathy,Q3702898,peripheral neuropathy,Q945238
161,obo.DOID_440,neuromuscular disease,Q2246789,peripheral neuropathy,Q945238
162,obo.DOID_0060054,autonomic peripheral neuropathy,Q18553623,peripheral neuropathy,Q945238
163,obo.DOID_0060843,hereditary neuropathy with liability to pressure palsies,Q1609737,peripheral neuropathy,Q945238
164,obo.DOID_7319,axonal neuropathy,Q18557549,peripheral neuropathy,Q945238
166,obo.DOID_0111741,"Deafness, X-linked 5",Q70210939,peripheral neuropathy,Q945238
167,obo.DOID_1188,mononeuropathy,Q18554205,peripheral neuropathy,Q945238
168,obo.DOID_1195,ischemic neuropathy,Q18554214,peripheral neuropathy,Q945238
169,obo.DOID_9743,diabetic neuropathy,Q2046550,peripheral neuropathy,Q945238
170,obo.DOID_5656,cranial nerve disease,Q5182126,peripheral neuropathy,Q945238
171,obo.DOID_2537,inflammatory and toxic neuropathy,Q18555110,peripheral neuropathy,Q945238
172,obo.DOID_1803,neuritis,Q2307256,peripheral neuropathy,Q945238
174,obo.DOID_2491,sensory peripheral neuropathy,Q18555098,peripheral neuropathy,Q945238
175,obo.DOID_9240,erythromelalgia,Q524353,peripheral neuropathy,Q945238
176,obo.DOID_0060731,congenital central hypoventilation syndrome,Q979129,autonomic nervous system disease,Q18554088
177,obo.DOID_0111537,Paroxysmal extreme pain disorder,Q7139588,autonomic nervous system disease,Q18554088
178,obo.DOID_11504,autonomic neuropathy,Q18554095,autonomic nervous system disease,Q18554088
179,obo.DOID_11488,idiopathic peripheral autonomic neuropathy,Q18554091,autonomic nervous system disease,Q18554088
180,obo.DOID_11599,Frey syndrome,Q1431371,autonomic nervous system disease,Q18554088
181,obo.DOID_3223,complex regional pain syndrome,Q1066311,autonomic nervous system disease,Q18554088
182,obo.DOID_10383,amyotrophic neuralgia,Q18553855,brachial plexus neuropathy,Q18556023
184,obo.DOID_8443,brachial plexus lesion,Q2517861,brachial plexus neuropathy,Q18556023
185,obo.DOID_10593,idiopathic progressive polyneuropathy,Q18553894,polyneuropathy,Q1502312
186,obo.DOID_13649,polyneuropathy in collagen vascular disease,Q18554568,polyneuropathy,Q1502312
187,obo.DOID_4308,polyradiculoneuropathy,Q3395796,polyneuropathy,Q1502312
188,obo.DOID_5214,demyelinating polyneuropathy,Q18556682,polyneuropathy,Q1502312
