Column,IRI,label,qid
2,obo.CL_0000095,neuron associated cell,
3,obo.CL_0000878,central nervous system macrophage,
4,obo.CL_0000637,chromophil cell of anterior pituitary gland,
7,obo.CL_0000708,leptomeningeal cell,
8,obo.CL_0009004,retinal cell,
11,obo.CL_0002549,fibroblast of choroid plexus,
12,obo.CL_0002575,central nervous system pericyte,
13,obo.CL_0002576,perineural cell,
14,obo.CL_0002590,smooth muscle cell of the brain vasculature,
17,obo.CL_2000044,brain microvascular endothelial cell,
18,obo.CL_2000029,central nervous system neuron,
19,obo.CL_0000029,neuron neural crest derived,
23,obo.CL_0000102,polymodal neuron,
27,obo.CL_2000032,peripheral nervous system neuron,
30,obo.CL_0000110,peptidergic neuron,
32,obo.CL_0000112,columnar neuron,
34,obo.CL_0000379,sensory processing neuron,
36,obo.CL_0000530,primary neuron,
37,obo.CL_0000535,secondary neuron,
39,obo.CL_0000678,commissural neuron,
42,obo.CL_0008028,visual system neuron,
43,obo.CL_0008030,excitatory neuron,
45,obo.CL_2000031,lateral line ganglion neuron,
46,obo.CL_0008025,noradrenergic neuron,
47,obo.CL_0008029,inhibitory neuron,
48,obo.CL_0010022,cardiac neuron,
49,obo.CL_0011100,galanergic neuron,
50,obo.CL_0011109,hypocretin-secreting neuron,
51,obo.CL_0011110,histaminergic neuron,
52,obo.CL_0011113,spiral ganglion neuron,
53,obo.CL_1000606,kidney nerve cell,
54,obo.CL_1001509,glycinergic neuron,
55,obo.CL_0000123,neuron associated cell (sensu Vertebrata),
57,obo.CL_0000130,neuron associated cell (sensu Nematoda and Protostomia),
59,obo.CL_0000879,meningeal macrophage,
60,obo.CL_0000880,choroid-plexus macrophage,
61,obo.CL_0000881,perivascular macrophage,
64,obo.CL_0010013,type I pinealocyte,
65,obo.CL_0010014,type II pinealocyte,
66,obo.CL_0000740,retinal ganglion cell,
67,obo.CL_0010009,camera-type eye photoreceptor cell,
69,obo.CL_0000748,retinal bipolar neuron,
70,obo.CL_0002585,retinal blood vessel endothelial cell,
72,obo.CL_0011104,interplexiform cell,
74,obo.CL_0000853,olfactory epithelial support cell,
77,obo.CL_2000043,brain pericyte,
78,obo.CL_0000028,CNS neuron (sensu Nematoda and Protostomia),
79,obo.CL_0000117,CNS neuron (sensu Vertebrata),
80,obo.CL_1001611,cerebellar neuron,
81,obo.CL_0010012,cerebral cortex neuron,
82,obo.CL_0011001,spinal cord motor neuron,
83,obo.CL_0011003,magnocellular neurosecretory cell (duplicate class),
84,obo.CL_1000001,retrotrapezoid nucleus neuron,
86,obo.CL_1001503,olfactory bulb tufted cell,
88,obo.CL_1001582,lateral ventricle neuron,
89,obo.CL_2000024,spinal cord medial motor column neuron,
90,obo.CL_2000047,brainstem motor neuron,
91,obo.CL_2000097,midbrain dopaminergic neuron,
92,obo.CL_0007011,enteric neuron,
94,obo.CL_0000402,CNS interneuron,
95,obo.CL_0000246,Mauthner neuron,
96,obo.CL_0000397,ganglion interneuron,
98,obo.CL_0000534,primary interneuron,
100,obo.CL_0008031,cortical interneuron,
103,obo.CL_0000253,eurydendroid cell,
104,obo.CL_0000381,neurosecretory neuron,
107,obo.CL_0009000,sensory neuron of spinal nerve,
116,obo.CL_0005024,somatomotor neuron,
117,obo.CL_3000003,sympathetic cholinergic neuron,
118,obo.CL_3000004,peripheral sensory neuron,
119,obo.CL_0000531,primary sensory neuron,
123,obo.CL_2000028,cerebellum glutamatergic neuron,
124,obo.CL_0011105,dopamanergic interplexiform cell,
125,obo.CL_0008021,anterior lateral line ganglion neuron,
126,obo.CL_1000245,posterior lateral line ganglion neuron,
127,obo.CL_3000002,sympathetic noradrenergic neuron,
130,obo.CL_0000339,glioblast (sensu Vertebrata),
132,obo.CL_0000124,glial cell (sensu Nematoda and Protostomia),
133,obo.CL_0000243,glial cell (sensu Vertebrata),
134,obo.CL_1001579,cerebral cortex glial cell,
135,obo.CL_0010020,cardiac glial cell,
136,obo.CL_1000050,lateral line nerve glial cell,
137,obo.CL_1001581,lateral ventricle glial cell,
138,obo.CL_0000340,glioblast (sensu Nematoda and Protostomia),
140,obo.CL_0002628,immature microglial cell,
141,obo.CL_0002629,mature microglial cell,
142,obo.CL_0000437,gonadtroph,
150,obo.CL_0000749,ON-bipolar cell,
151,obo.CL_0000750,OFF-bipolar cell,
153,obo.CL_0000752,cone retinal bipolar cell,
154,obo.CL_0011106,GABAnergic interplexiform cell,
158,obo.CL_0000122,stellate neuron,
159,obo.CL_0000555,neuronal brush cell,
160,obo.CL_0000598,pyramidal neuron,
161,obo.CL_0012001,neuron of the forebrain,
163,obo.CL_0002610,raphe nuclei neuron,
164,obo.CL_0002611,neuron of the dorsal spinal cord,
165,obo.CL_0002612,neuron of the ventral spinal cord,
166,obo.CL_0002614,neuron of the substantia nigra,
169,obo.CL_0010010,cerebellar stellate cell,
170,obo.CL_2000027,cerebellum basket cell,
171,obo.CL_0002609,neuron of cerebral cortex,
173,obo.CL_2000048,ventral horn of spinal cord spinal cord motor neuron,
174,obo.CL_0000406,CNS short range interneuron,
175,obo.CL_0000410,CNS long range interneuron,
176,obo.CL_0000691,stellate interneuron,
177,obo.CL_0005000,spinal cord interneuron,
178,obo.CL_1001434,olfactory bulb interneuron,
180,obo.CL_0000717,fusimotor neuron,
181,obo.CL_0000741,spinal accessory motor neuron,
182,obo.CL_0015000,cranial motor neuron,
183,obo.CL_0008014,excitatory motor neuron,
184,obo.CL_0005025,visceromotor neuron,
185,obo.CL_0008015,inhibitory motor neuron,
186,obo.CL_0011111,gonadotropin releasing neuron,
188,obo.CL_0000006,neuronal receptor cell,
189,obo.CL_0000199,mechanoreceptor cell,
191,obo.CL_0000251,extramedullary cell,
192,obo.CL_1001451,sensory neuron of dorsal root ganglion,
193,obo.CL_1001561,vomeronasal sensory neuron,
194,obo.CL_0011102,parasympathetic neuron,
195,obo.CL_0011103,sympathetic neuron,
196,obo.CL_0008010,cranial somatomotor neuron,
197,obo.CL_0000247,Rohon-Beard neuron,
198,obo.CL_0000532,CAP motoneuron,
199,obo.CL_0005007,Kolmer-Agduhr neuron,
202,obo.CL_0000619,support cell (sensu Nematoda),
207,obo.CL_1001580,hippocampus glial cell,
208,obo.CL_1000236,posterior lateral line nerve glial cell,
209,obo.CL_1000239,anterior lateral line nerve glial cell,
210,obo.CL_0008027,rod bipolar cell (sensu Mus),
211,obo.CL_0000753,type 1 cone bipolar cell (sensu Mus),
212,obo.CL_0000754,type 2 cone bipolar cell (sensu Mus),
213,obo.CL_0000755,type 3 cone bipolar cell (sensu Mus),
214,obo.CL_0000756,type 4 cone bipolar cell (sensu Mus),
215,obo.CL_0000757,type 5 cone bipolar cell (sensu Mus),
216,obo.CL_0000758,type 6 cone bipolar cell (sensu Mus),
217,obo.CL_0000759,type 7 cone bipolar cell (sensu Mus),
218,obo.CL_0000760,type 8 cone bipolar cell (sensu Mus),
219,obo.CL_0000761,type 9 cone bipolar cell (sensu Mus),
220,obo.CL_2000086,neocortex basket cell,
221,obo.CL_2000087,dentate gyrus of hippocampal formation basket cell,
222,obo.CL_2000088,Ammon's horn basket cell,
223,obo.CL_0000626,olfactory granule cell,
224,obo.CL_0001032,cortical granule cell,
225,obo.CL_2000090,dentate gyrus of hippocampal formation stellate cell,
226,obo.CL_2000056,Meynert cell,
227,obo.CL_0002613,striatum neuron,
228,obo.CL_0011000,dorsal horn interneuron,
229,obo.CL_0002608,hippocampal neuron,
230,obo.CL_0000693,neuroglioform cell,
231,obo.CL_2000023,spinal cord ventral column interneuron,
234,obo.CL_0005023,branchiomotor neuron,
235,obo.CL_0008013,cranial visceromotor neuron,
236,obo.CL_0000198,pain receptor cell,
238,obo.CL_0000203,gravity sensitive cell,
239,obo.CL_0000204,acceleration receptive cell,
240,obo.CL_0000205,thermoreceptor cell,
241,obo.CL_0000209,taste receptor cell,
243,obo.CL_0000376,humidity receptor cell,
244,obo.CL_1000082,stretch receptor cell,
245,obo.CL_0007017,Stiftchenzellen,
246,obo.CL_0000200,touch receptor cell,
247,obo.CL_0000544,slowly adapting mechanoreceptor cell,
248,obo.CL_0000855,sensory hair cell,
249,obo.CL_0002487,cutaneous/subcutaneous mechanoreceptor cell,
251,obo.CL_0000208,pH receptor cell,
253,obo.CL_0000367,sheath cell (sensu Nematoda),
254,obo.CL_0000389,socket cell (sensu Nematoda),
257,obo.CL_2000005,brain macroglial cell,
258,obo.CL_0000218,myelinating Schwann cell,
259,obo.CL_0002377,immature Schwann cell,
260,obo.CL_0002376,non-myelinating Schwann cell,
261,obo.CL_0013000,forebrain radial glial cell,
262,obo.CL_1000073,spinal cord radial glial cell,
263,obo.CL_0002604,astrocyte of the hippocampus,
264,obo.CL_0001033,hippocampal granule cell,
265,obo.CL_2000089,dentate gyrus of hippocampal formation granule cell,
266,obo.CL_1001571,hippocampal pyramidal neuron,
267,obo.CL_2000049,primary motor cortex pyramidal cell,
268,obo.CL_0000551,unimodal nocireceptor,
269,obo.CL_0000567,polymodal nocireceptor,
272,obo.CL_0005008,macular hair cell,
273,obo.CL_0000587,cold sensing thermoreceptor cell,
274,obo.CL_0000591,warmth sensing thermoreceptor cell,
277,obo.CL_0002287,type IV taste receptor cell,
278,obo.CL_0002288,type V taste receptor cell,
280,obo.CL_0000287,eye photoreceptor cell,
